Activity Period,Activity Period Start Date,Operating Airline,Operating Airline IATA Code,Published Airline,Published Airline IATA Code,GEO Summary,GEO Region,Landing Aircraft Type,Aircraft Body Type,Aircraft Manufacturer,Aircraft Model,Aircraft Version,Landing Count,Total Landed Weight,data_as_of,data_loaded_at
201501,2015/01/01,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,-,39,10619000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,300,3,966000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,"Aer Lingus, Ltd.",EI,"Aer Lingus, Ltd.",EI,International,Europe,Passenger,Wide Body,Airbus,A330,200,15,5959616,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,"Aer Lingus, Ltd.",EI,"Aer Lingus, Ltd.",EI,International,Europe,Passenger,Wide Body,Airbus,A330,300,3,1236792,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Aeromexico,AM,Aeromexico,AM,International,Mexico,Passenger,Narrow Body,Boeing,737,700,95,12160000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Wide Body,Boeing,767,300,24,7677600,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A319,114,95,12777500,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,211,63,8958600,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A320,214,15,2133000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air Canada,AC,Air Canada,AC,International,Canada,Passenger,Narrow Body,Airbus,A321,211,2,343000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air Cargo Carriers,2Q,Air Cargo Carriers,2Q,Domestic,US,Freighter,Turbo Prop,Shorts,SD3,30,22,572000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air China,CA,Air China,CA,International,Asia,Passenger,Wide Body,Boeing,777,300ER,28,15512000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air France,AF,Air France,AF,International,Europe,Passenger,Wide Body,Boeing,777,200,28,12882800,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,200,18,8460000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Air New Zealand,NZ,Air New Zealand,NZ,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,300,26,14352000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,400,247,29887000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,400,9,1089000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,700,121,15633200,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,700,2,258400,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,800,23,3312000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,800,3,432000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,900,24,3511200,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,900,14,2048200,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,Domestic,US,Passenger,Narrow Body,Boeing,737,900ER,35,5505500,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Alaska Airlines,AS,Alaska Airlines,AS,International,Mexico,Passenger,Narrow Body,Boeing,737,900ER,28,4404400,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,"All Nippon Company Airways, Ltd.",NH,"All Nippon Company Airways, Ltd.",NH,International,Asia,Passenger,Wide Body,Boeing,777,300ER,32,17728000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,737,-,566,81504000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Boeing,757,-,75,14850000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,767,300,57,17670000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Wide Body,Boeing,777,-,4,1840000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,Airbus,A321,-,158,27097000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,American Airlines,AA,American Airlines,AA,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-80,SP,1,130000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,1900C,-,22,354200,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Beechcraft,B-99,-,1,10900,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Ameriflight,A8,Ameriflight,A8,Domestic,US,Freighter,Turbo Prop,Fairchild,SA-227,-,21,294000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,747,400,9,5670000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Freighter,Wide Body,Boeing,747,400F,27,17674000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Asiana Airlines,OZ,Asiana Airlines,OZ,International,Asia,Passenger,Wide Body,Boeing,777,200ER,22,10120000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,British Airways,BA,British Airways,BA,International,Europe,Passenger,Wide Body,Boeing,747,400,62,39060000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Cathay Pacific,CX,Cathay Pacific,CX,International,Asia,Passenger,Wide Body,Boeing,777,300ER,62,34286000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,China Airlines,CI,China Airlines,CI,International,Asia,Passenger,Wide Body,Boeing,747,400,31,19530000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,China Airlines,CI,China Airlines,CI,International,Asia,Freighter,Wide Body,Boeing,747,400F,22,14652000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,China Eastern,MU,China Eastern,MU,International,Asia,Passenger,Wide Body,Airbus,A330,200,30,12036000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,China Southern,CZ,China Southern,CZ,International,Asia,Passenger,Wide Body,Boeing,787,800,14,5320000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Compass Airlines,CP,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,175,619,46535182,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,700,1,129200,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,800,14,2048200,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,737,900,132,20763600,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,-,226,44748000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Boeing,757,300,38,8512000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300,35,10325000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,300ER,2,640000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Wide Body,Boeing,767,400,1,350000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A319,114,13,1747200,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,Airbus,A320,-,53,7536600,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Delta Air Lines,DL,Delta Air Lines,DL,Domestic,US,Passenger,Narrow Body,McDonnell Douglas,MD-90,-,106,15052000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,EVA Airways,BR,EVA Airways,BR,International,Asia,Freighter,Wide Body,Boeing,747,400F,7,4564000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,EVA Airways,BR,EVA Airways,BR,International,Asia,Passenger,Wide Body,Boeing,777,300ER,62,34348000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Emirates,EK,Emirates,EK,International,Middle East,Passenger,Wide Body,Airbus,A380,800,31,26927251,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Etihad Airways,EY,Etihad Airways,EY,International,Middle East,Passenger,Wide Body,Boeing,777,300ER,31,17173969,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A300,60,20,6165000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A310,20,1,267900,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,Airbus,A310,30,1,273400,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Federal Express,FX,Federal Express,FX,Domestic,US,Freighter,Wide Body,McDonnell Douglas,DC-10,10,12,4494000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Frontier Airlines,F9,Frontier Airlines,F9,Domestic,US,Passenger,Narrow Body,Airbus,A319,-,140,18830000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Boeing,767,300,1,295000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Hawaiian Airlines,HA,Hawaiian Airlines,HA,Domestic,US,Passenger,Wide Body,Airbus,A330,200,61,24461000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Japan Airlines,JL,Japan Airlines,JL,International,Asia,Passenger,Wide Body,Boeing,777,300ER,31,17174000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A320,-,273,38820600,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,JetBlue Airways,B6,JetBlue Airways,B6,Domestic,US,Passenger,Narrow Body,Airbus,A321,-,111,19092000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Airbus,A330,200,14,5605600,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,KLM Royal Dutch Airlines,KL,KLM Royal Dutch Airlines,KL,International,Europe,Passenger,Wide Body,Airbus,A330,300,13,5348200,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,747,200F,1,630000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Kalitta Air,K4,Kalitta Air,K4,Domestic,US,Freighter,Wide Body,Boeing,747,400F,2,1304000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,747,800,27,20601000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,200,19,8740000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Passenger,Wide Body,Boeing,777,300ER,12,6648000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Korean Air Lines,KE,Korean Air Lines,KE,International,Asia,Freighter,Wide Body,Boeing,777,F,1,575000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A340,600,30,17130000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Lufthansa German Airlines,LH,Lufthansa German Airlines,LH,International,Europe,Passenger,Wide Body,Airbus,A380,800,28,24136000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Mesa Airlines,YV,American Airlines,AA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,900,76,5586000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Nippon Cargo Airlines,KZ,Nippon Cargo Airlines,KZ,International,Asia,Freighter,Wide Body,Boeing,747,800,22,16786000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Boeing,777,300ER,29,16066000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Philippine Airlines,PR,Philippine Airlines,PR,International,Asia,Passenger,Wide Body,Airbus,A340,300,8,3350992,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Republic Airlines,RW,Republic Airlines,RW,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,190,1,94800,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,SAS Airlines,SK,SAS Airlines,SK,International,Europe,Passenger,Wide Body,Airbus,A340,300,23,9614000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Singapore Airlines,SQ,Singapore Airlines,SQ,International,Asia,Passenger,Wide Body,Boeing,777,300ER,62,34348000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CL600,2B19,1220,57340000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CL600,2B19,70,3290000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,600,745,49915000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Bombardier,CRJ,600,89,5963000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,700,24,1608000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,SkyWest Airlines,OO,Delta Air Lines,DL,Domestic,US,Passenger,Regional Jet,Bombardier,CRJ,900,7,525700,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Turbo Prop,Embraer,EMB,120,1040,26832000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,SkyWest Airlines,OO,United Airlines,UA,Domestic,US,Passenger,Regional Jet,Embraer,ERJ,175,427,32006639,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,SkyWest Airlines,OO,United Airlines,UA,International,Canada,Passenger,Regional Jet,Embraer,ERJ,175,54,4047678,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,300,444,50616000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,700,730,93440000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Southwest Airlines,WN,Southwest Airlines,WN,Domestic,US,Passenger,Narrow Body,Boeing,737,800,27,3888000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,700,22,2842400,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Sun Country Airlines,SY,Sun Country Airlines,SY,Domestic,US,Passenger,Narrow Body,Boeing,737,800,11,1609300,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Sun Country Airlines,SY,Sun Country Airlines,SY,International,Mexico,Passenger,Narrow Body,Boeing,737,800,6,877800,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Swiss International,LX,Swiss International,LX,International,Europe,Passenger,Wide Body,Airbus,A340,300,31,12985218,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Passenger,Narrow Body,Airbus,A319,-,1,137500,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,"TACA International Airlines, S.A.",TA,"TACA International Airlines, S.A.",TA,International,Central America,Passenger,Narrow Body,Airbus,A320,-,48,6825600,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Boeing,757,200,1,198000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,-,1,142200,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A320,231,68,9662800,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,US Airways,US,US Airways,US,Domestic,US,Passenger,Narrow Body,Airbus,A321,-,354,60711000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,700,1,129200,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,800,960,139843100,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,800,13,1885800,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,800,8,1170400,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,737,900,624,98075200,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Boeing,737,900ER,2,314600,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Boeing,737,900ER,60,9428000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,747,422,153,96390000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,747,422,30,18900000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,-,483,95634000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Boeing,757,300,356,79744000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,322,42,13440000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,767,322,22,7040000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,767,400,37,12950000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,222,57,25365000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Australia / Oceania,Passenger,Wide Body,Boeing,777,222,30,13800000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,777,222B,2,920000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,777,222B,63,28980000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Europe,Passenger,Wide Body,Boeing,777,222B,31,14260000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Wide Body,Boeing,787,800,30,11400000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Asia,Passenger,Wide Body,Boeing,787,800,43,16340000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A319,131,465,64030500,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A319,131,39,5370300,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A319,131,1,137700,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,Domestic,US,Passenger,Narrow Body,Airbus,A320,232,627,89159400,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Canada,Passenger,Narrow Body,Airbus,A320,232,33,4692600,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,United Airlines,UA,United Airlines,UA,International,Mexico,Passenger,Narrow Body,Airbus,A320,232,75,10665000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A319,-,257,35411773,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Virgin America,VX,Virgin America,VX,Domestic,US,Passenger,Narrow Body,Airbus,A320,-,1078,153547390,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Virgin America,VX,Virgin America,VX,International,Mexico,Passenger,Narrow Body,Airbus,A320,-,33,4692534,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201501,2015/01/01,Virgin Atlantic,VS,Virgin Atlantic,VS,International,Europe,Passenger,Wide Body,Boeing,747,400,30,18900000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
201502,2015/02/01,ABX Air,GB,ABX Air,GB,Domestic,US,Freighter,Wide Body,Boeing,767,-,35,9520000,2025/04/20 01:01:06 PM,2025/04/22 03:03:06 PM
